Wed Mar 16 15:18:41 2022    profiler/output.dat

         469879 function calls (466261 primitive calls) in 2.484 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      139    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3543(<genexpr>)
      139    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      139    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      133    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\abc.py:117(__instancecheck__)
      133    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3260(__init__)
      133    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
   131/65    0.000    0.000    0.002    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3365(<listcomp>)
   131/65    0.000    0.000    0.003    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3363(copy)
      130    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      128    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_compile.py:595(isstring)
      127    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\ntpath.py:34(_get_bothseps)
      126    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_compile.py:453(_get_iscased)
      120    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2368(__init__)
      118    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      116    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:295(_class_escape)
      116    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:314(<genexpr>)
      115    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
      112    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:363(__new__)
  112/108    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:372(__init__)
    111/5    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3319(streamline)
      111    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      110    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      110    0.000    0.000    0.002    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:48(parse)
      108    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:84(opengroup)
      108    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\sre_parse.py:96(closegroup)
